iter	Passed	Remaining
1047	512455	465513
1048	512893	464978
1049	513399	464504
1050	513921	464044
1051	514353	463504
1052	514813	462989
1053	515298	462497
1054	515781	462003
1055	516330	461567
1056	516775	461040
1057	517193	460487
1058	517751	460060
1059	518315	459638
1060	518778	459125
1061	519278	458646
1062	519726	458122
1063	520288	457697
1064	520706	457146
1065	521076	456553
1066	521649	456138
1067	522129	455641
1068	522583	455121
1069	523233	454772
1070	523713	454276
1071	524248	453827
1072	524756	453354
1073	525323	452932
1074	525743	452384
1075	526180	451850
1076	526625	451323
1077	527127	450845
1078	527690	450419
1079	528071	449838
1080	528475	449277
1081	528955	448780
1082	529599	448423
1083	530161	447996
1084	530667	447521
1085	531129	447009
1086	531561	446472
1087	531953	445901
1088	532494	445456
1089	532960	444948
1090	533493	444496
1091	533859	443905
1092	534428	443482
1093	534963	443031
1094	535444	442536
1095	535911	442029
1096	536338	441489
1097	536702	440897
1098	537187	440406
1099	537739	439968
1100	538215	439469
1101	538655	438940
1102	539118	438430
1103	539606	437941
1104	540158	437504
1105	540680	437041
1106	541212	436587
1107	541712	436107
1108	542214	435629
1109	542659	435105
1110	543100	434578
1111	543558	434064
1112	544053	433580
1113	544446	433016
1114	544942	432532
1115	545405	432023
1116	545902	431541
1117	546271	430958
1118	546770	430478
1119	547222	429960
1120	547704	429467
1121	548154	428947
1122	548673	428483
1123	549188	428014
1124	549638	427496
1125	550057	426953
1126	550524	426448
1127	551128	426050
1128	551560	425517
1129	551991	424984
1130	552378	424417
1131	552819	423893
1132	553212	423332
1133	553679	422827
1134	554161	422334
1135	554504	421735
1136	554938	421206
1137	555283	420609
1138	555740	420098
1139	556263	419637
1140	556719	419125
1141	557202	418633
1142	557666	418127
1143	558192	417668
1144	558693	417190
1145	559175	416697
1146	559661	416208
1147	560014	415620
1148	560421	415072
1149	560895	414574
1150	561374	414080
1151	561902	413622
1152	562375	413124
1153	562971	412715
1154	563333	412135
1155	563809	411639
1156	564220	411095
1157	564698	410600
1158	565126	410070
1159	565717	409657
1160	566210	409173
1161	566604	408618
1162	567022	408080
1163	567506	407590
1164	568051	407144
1165	568590	406693
1166	569085	406210
1167	569520	405685
1168	570018	405205
1169	570396	404640
1170	570805	404096
1171	571294	403610
